Sample,genome,Read Count,Mean,covered_fraction,Length
3000m1000m,R3500m3000m.57,881989,82.973236,0.9935564,1500082
3000m1000m,A4500m2000m.12,1566560,115.65955,0.98771036,1899080
3000m1000m,R3500m50m.298,150,0.006700387,0.0041867127,1861126
3000m1000m,A500m50m.226,310,0.02146054,0.012595591,1752121
3000m1000m,A500m50m.221,4668,0.11557612,0.05410947,2560975
3000m1000m,A500m50m.196,3389,0.14789549,0.02835925,2026852
3000m1000m,A4500m4000m.151,2106420,313.9858,0.96817935,901585
3000m1000m,R3000m1000m.77,427592,13.156677,0.9992731,4584118
3000m1000m,R4500m3000m.168,4057,0.103624105,0.03550999,3331992
3000m1000m,A3000m2000m.127,65553,4.5340924,0.8727154,2038267
3000m1000m,R3500m50m.152,94,0.0017352339,0.0011607117,1418957
3000m1000m,A4000m500m.153,25424,2.3063295,0.49126115,1477770
3000m1000m,A4000m2000m.221,311940,7.748853,0.9598939,5629114
3000m1000m,A500m50m.235,6653,0.15306316,0.035537746,4228884
3000m1000m,A500m150m.244,15283,0.9445925,0.15657277,1670648
3000m1000m,A3000m3000m.154,2043,0.20436256,0.087735295,996999
3000m1000m,R3500m500m.112,76047,5.892818,0.95607984,1838063
3000m1000m,A4500m4000m.36,11060,0.8112419,0.4045153,1836959
3000m1000m,A500m50m.71,7259,0.37043533,0.15165584,1980016
3000m1000m,R4500m4000m.214,271,0.011826699,0.0049700025,1099597
3000m1000m,A3000m50m.119,3386,0.0347123,0.009868499,4546487
3000m1000m,A4500m150m.91,1749,0.12971361,0.039599642,1180844
3000m1000m,R4500m3000m.127,33249,4.1373944,0.8468968,1103008
3000m1000m,A4500m150m.101,1023,0.034425084,0.011730648,2586899
3000m1000m,A4500m4000m.264,16507,0.46087897,0.21016547,4354645
3000m1000m,A3500m1000m.174,115019,10.814541,0.9039189,1124592
3000m1000m,A3000m50m.211,646,0.009671315,0.0024047415,2091285
3000m1000m,A4000m150m.234,47646,5.9794784,0.4339668,1033957
3000m1000m,A4500m4000m.147,145992,3.5428379,0.7623717,5212969
3000m1000m,A4500m500m.212,13135,2.2579439,0.5456858,786535
3000m1000m,A3000m500m.140,33425,1.3612807,0.5487524,3349791
3000m1000m,A4500m150m.142,200,0.010017255,0.0053751753,1605529
3000m1000m,A4500m500m.158,532685,28.98674,0.87285644,2627140
3000m1000m,A4500m2000m.168,98984,4.842894,0.9000931,2876057
3000m1000m,A3000m50m.303,1175,0.02743132,0.01114989,2395629
3000m1000m,A3500m2000m.213,1582167,141.29611,0.9941809,1578940
3000m1000m,R4000m50m.179,11802,1.1937649,0.55300957,1400605
3000m1000m,A4500m3000m.19,7504,0.76377106,0.37065986,1305631
3000m1000m,R3000m3000m.23,64155,3.8864868,0.8350975,2265969
3000m1000m,R4500m150m.66,9445,0.65523636,0.3421701,1895376
3000m1000m,A500m500m.31,11341,1.4467356,0.22376761,1059425
3000m1000m,A3000m2000m.307,56929,3.502128,0.89180845,2266572
3000m1000m,R4500m150m.352,174,0.0037408588,0.0026522328,2282605
3000m1000m,R3000m3000m.16,3716,0.07861303,0.033848792,4630505
3000m1000m,A4000m500m.121,8978,0.56182134,0.20042193,1775160
3000m1000m,A3500m1000m.120,1061783,169.354,0.9951143,860274
3000m1000m,R4000m3000m.162,75966,3.9049845,0.58322215,2649836
3000m1000m,A4500m2000m.102,40352,2.7055774,0.57625836,1418048
3000m1000m,A3500m1000m.13,81863,8.695412,0.9478771,1283122
3000m1000m,A4500m2000m.144,3706,0.1712203,0.045327686,2065647
3000m1000m,A3000m150m.295,227031,24.218868,0.79462916,1278906
3000m1000m,R3500m50m.34,70,0.005232371,0.0023475226,963995
3000m1000m,A3000m1000m.47,204404,12.306609,0.9992404,2356409
3000m1000m,R4500m150m.83,192,0.006812934,0.0035479767,1492118
3000m1000m,A4500m500m.75,204952,27.179232,0.9488641,1066530
3000m1000m,A4000m1000m.137,455472,30.999294,0.99609697,2048934
3000m1000m,A3000m50m.307,664,0.026110247,0.011877102,1434946
3000m1000m,A3000m50m.239,495,0.01918506,0.008937714,1482482
3000m1000m,A4500m3000m.331,1052563,58.32408,0.93265843,2562059
3000m1000m,A3000m150m.156,56046,1.4852029,0.24877529,4887081
3000m1000m,A4500m150m.81,447342,41.019466,0.8245125,1533055
3000m1000m,A3000m500m.108,140327,5.721196,0.93818676,3428181
3000m1000m,A4500m150m.333,18499,1.5922639,0.48738024,1607279
3000m1000m,A3500m50m.154,870,0.037870124,0.0071970965,1236193
3000m1000m,R3500m1000m.173,199249,18.05249,0.9913088,1577233
3000m1000m,R4000m1000m.103,165819,18.07895,0.997829,1293435
3000m1000m,A4500m4000m.62,770129,42.33817,0.89273906,2445858
3000m1000m,A3000m50m.152,5973,0.069345154,0.0056012236,3281783
3000m1000m,R3000m3000m.60,1115,0.08018394,0.054171104,1834982
3000m1000m,A3500m50m.133,600,0.022615958,0.010956261,1541493
3000m1000m,R3000m3000m.234,999,0.039084237,0.015443662,1955171
3000m1000m,A3500m150m.91,480585,46.827328,0.5617765,1391678
3000m1000m,A3000m50m.37,494,0.021300793,0.004020713,963262
3000m1000m,R500m150m.95,1255742,132.83173,0.93705475,1366362
3000m1000m,A3000m150m.255,2073,0.07276284,0.03295583,2377546
3000m1000m,A3500m3000m.85,7735,0.6640036,0.29690376,1384708
3000m1000m,A3000m500m.218,2817,0.23777816,0.108300075,1465059
3000m1000m,A4500m3000m.89,63028,5.8649144,0.8684575,1532098
3000m1000m,A4500m4000m.157,4947,0.14075935,0.059853107,3385054
3000m1000m,A500m50m.89,783168,87.21718,0.917911,1254553
3000m1000m,A3500m3000m.63,95105,6.675595,0.823364,1797386
3000m1000m,A4500m1000m.70,1335396,174.15283,0.9958838,1045867
3000m1000m,A4500m50m.146,376,0.015586305,0.00505347,1056106
3000m1000m,R3000m3000m.119,7640,0.28725412,0.03650142,2591050
3000m1000m,A3500m50m.14,1112,0.021745093,0.004950367,1504939
3000m1000m,A4500m150m.290,2997,0.2394112,0.049616516,1218304
3000m1000m,A4000m1000m.61,887630,18.577993,0.9954523,6709985
3000m1000m,A4000m50m.205,1914,0.041819334,0.011955015,1934251
3000m1000m,A3000m150m.39,3802,0.21773045,0.070619605,2079635
3000m1000m,A3000m500m.264,100035,5.5716157,0.88766336,2439551
3000m1000m,R4500m1000m.198,50158,3.6352575,0.8364706,1946188
3000m1000m,R3000m3000m.210,1807,0.0335967,0.0055712694,4132272
3000m1000m,A3000m3000m.237,4348,0.06701194,0.030437108,4816982
3000m1000m,A3000m50m.179,6762,0.19990069,0.0048637544,3007142
3000m1000m,A3000m50m.129,545,0.021671288,0.006692972,1097868
3000m1000m,R4500m1000m.103,195800,13.660733,0.9971617,2027276
3000m1000m,A4500m2000m.323,810292,66.750984,0.9985777,1697948
3000m1000m,A4500m50m.151,180,0.0058003548,0.0015828215,1232609
3000m1000m,A3000m500m.175,156518,6.622758,0.899582,3401592
3000m1000m,A500m150m.145,48051,5.0492015,0.71382207,1308637
3000m1000m,A500m50m.91,934,0.022604829,0.005821102,1681984
3000m1000m,A4500m500m.76,440993,30.992025,0.9503167,2012749
3000m1000m,A500m50m.117,486,0.009855974,0.0037623562,2023466
