scaffold,reconciled_taxonomy
OC1703_3500m_50m_sens_contig_2991945,Candidatus Thermoplasmatota
OC1703_4500m_3000m_sens_contig_2145502,Candidatus Thermoplasmatota
OC1703_4000m_3000m_sens_contig_1803809,Candidatus Thermoplasmatota
OC1703_3500m_3000m_sens_contig_1025816,Candidatus Thermoplasmatota
OC1703_3000m_150m_sens_contig_568704,Candidatus Thermoplasmatota
OC1703_500m_150m_sens_contig_721397,Candidatus Thermoplasmatota
OC1703_3500m_150m_sens_contig_374076,Candidatus Thermoplasmatota
OC1703_3000m_3000m_sens_contig_2999119,Candidatus Thermoplasmatota
OC1703_500m_50m_sens_contig_1889243,Candidatus Thermoplasmatota
OC1703_4500m_50m_sens_contig_3330032,Candidatus Thermoplasmatota
OC1703_4000m_50m_sens_contig_236070,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_490884,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_3049796,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_951475,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_1578670,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_734878,Candidatus Thermoplasmatota
OC1703_4500m_50m_sens_contig_4039421,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_3730921,Candidatus Thermoplasmatota
OC1703_4000m_50m_sens_contig_2211973,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_1877444,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_4333830,Candidatus Thermoplasmatota
OC1703_3000m_1000m_sens_contig_4268687,Candidatus Thermoplasmatota
OC1703_500m_500m_sens_contig_874712,Candidatus Thermoplasmatota
OC1703_3500m_500m_sens_contig_3987706,Candidatus Thermoplasmatota
OC1703_3000m_500m_sens_contig_259902,Candidatus Thermoplasmatota
OC1703_4500m_1000m_sens_contig_1631117,Candidatus Thermoplasmatota
OC1703_4500m_500m_sens_contig_2773837,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_5482021,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_2759385,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_1430109,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_1112297,Candidatus Thermoplasmatota
OC1703_4000m_50m_sens_contig_765957,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_3778165,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_2690052,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_2400904,Candidatus Thermoplasmatota
OC1703_4000m_50m_sens_contig_1089412,Candidatus Thermoplasmatota
OC1703_4500m_50m_sens_contig_6821578,Candidatus Thermoplasmatota
OC1703_500m_50m_sens_contig_562686,Candidatus Thermoplasmatota
OC1703_4500m_50m_sens_contig_6709390,Candidatus Thermoplasmatota
OC1703_4500m_50m_sens_contig_5920224,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_2689497,Candidatus Thermoplasmatota
OC1703_4000m_50m_sens_contig_2590263,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_1833977,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_356932,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_2266306,Candidatus Thermoplasmatota
OC1703_4000m_50m_sens_contig_1034644,Candidatus Thermoplasmatota
OC1703_4500m_50m_sens_contig_7201623,Candidatus Thermoplasmatota
OC1703_500m_50m_sens_contig_2694549,Candidatus Thermoplasmatota
OC1703_500m_50m_sens_contig_1871382,Candidatus Thermoplasmatota
